infinitive,past_simple,past_simple_2,past_participle,translation
bakken,bakte,bakten,gebakken,cuire
beginnen,begon,begonnen,begonnen,commencer
begrijpen,begreep,begrepen,begrepen,comprendre
bezoeken,bezocht,bezochten,bezocht,visiter
blijven,bleef,bleven,gebleven,rester
breken,brak,braken,gebroken,casser
brengen,bracht,brachten,gebracht,apporter
denken,dacht,dachten,gedacht,penser
doen,deed,deden,gedaaan,faire
dragen,droeg,droegen,gedragen,porter
drinken,dronk,dronken,gedronken,boire
duiken,dook,doken,gedoken,plonger
eten,at,aten,gegeten,manger
gaan,ging,gingen,gegaan,aller
geven,gaf,gaven,gegeven,donner
hangen,hing,hingen,gehangen,"pendre, être suspendu"
hebben,had,hadden,gehad,avoir
helpen,hielp,hielpen,geholpen,aider
heten,heette,heetten,geheten,s’appeler
houden,hield,hielden,gehouden,tenir
houden van,hield van,hielden van,gehouden van,aimer
kiezen,koos,kozen,gekozen,choisir
kijken,keek,keken,gekeken,regarder
klimmen,klom,klommen,geklommen,grimper
komen,kwam,kwamen,gekomen,venir
kopen,kocht,kochten,gekocht,acheter
krijgen,kreeg,kregen,gekregen,recevoir
kunnen,kon,konden,gekund,"pouvoir, être capable de"
lachen,lachte,lachten,gelachen,rire
laten,liet,lieten,gelaten,laisser
lezen,las,lazen,gelezen,lire
liggen,lag,lagen,gelegen,"se trouver, être couché"
lijken,leek,leken,geleken,sembler
lopen,liep,liepen,gelopen,"courir, marcher"
moeten,moest,moesten,gemoeten,devoir
mogen,mocht,mochten,gemogen,"pouvoir, permission"
nemen,nam,namen,genomen,prendre
ontbijten,ontbeet,ontbeten,ontbeten,déjeuner
ontmoeten,ontmoette,ontmoetten,ontmoet,rencontrer
raden,raadde,raadden,geraden,deviner
rijden,reed,reden,gereden,"rouler, conduire"
roepen,riep,riepen,geroepen,crier
schrijven,schreef,schreven,geschreven,écrire
slapen,sliep,sliepen,geslapen,dormir
spreken,sprak,spraken,gesproken,parler
springen,sprong,sprongen,gesprongen,sauter
staan,stond,stonden,gestaan,"se trouver, être debout"
sterven,stierf,stierven,gestorven,mourir
vallen,viel,vielen,gevallen,tomber
vangen,ving,vingen,gevangen,attraper
varen,voer,voeren,gevaren,naviguer
vergeten,vergat,vergaten,vergeten,oublier
verkiezen,verkoos,verkozen,verkozen,préférer
verkopen,verkocht,verkochten,verkocht,vendre
verstaan,verstond,verstonden,verstaan,comprendre à l’oreille
vertrekken,vertrok,vertrokken,vertrokken,partir
vinden,vond,vonden,gevonden,trouver
vriezen,vroor,vroren,gevroren,geler
wassen,waste,wasten,gewassen,laver
wegen,woog,wogen,gewogen,peser
weten,wist,wisten,geweten,savoir
willen,"wilde, wou",wilden,gewild,vouloir
winnen,won,wonnen,gewonnen,gagner
worden,werd,werden,geworden,devenir
zeggen,zei,zeiden,gezegd,dire
zien,zag,zagen,gezien,voir
zijn,was,waren,geweest,être
zingen,zong,zongen,gezongen,chanter
zitten,zat,zaten,gezeten,"s’asseoir, être assis"
zwemmen,zwom,zwommen,gezwommen,nager
zwijgen,zweeg,zwegen,gezwegen,se taire
